Date,7 DAYS MA,7 DAYS STD DEV,14 DAYS MA,21 DAYS MA,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,Close
2012-10-17,-1.9013337682635811,-1.1015437265001944,-1.9277202901214832,-1.9442082357359083,0.008922841969554235,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0334440050274978,0.14724631377743386,1.0303115973748305,-1.8848209799823952
2012-10-18,-1.8957489268966343,-1.1255648428859513,-1.9202644581461086,-1.939854773489147,0.7167056936835511,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0429269470693017,0.2618644478637618,1.0303115973748305,-1.9108379931278097
2012-10-19,-1.8957489268966343,-1.1255648428859513,-1.9165365421584213,-1.936745157598603,1.424488545397548,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0524098891111058,0.37648258195008977,1.0303115973748305,-1.9108379931278097
2012-10-22,-1.8957489268966343,-1.1255648428859513,-1.911876647173812,-1.9336355417080588,-1.4066428614584396,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0808587152365174,0.7203369842090735,1.0966779685063226,-1.936855006273224
2012-10-23,-1.9031953820525636,-1.0492698265650124,-1.9109446681768905,-1.9317697721737324,-0.6988600097444426,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0903416572783213,0.8349551182954015,1.0966779685063226,-1.9108379931278097
2012-10-24,-1.9031953820525636,-1.0492698265650124,-1.9081487311861247,-1.926794386748862,0.008922841969554235,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.0998245993201252,0.9495732523817294,1.0966779685063226,-1.871812473409688
2012-10-25,-1.8957489268966343,-1.0213735099913157,-1.9025568572045937,-1.921197078145883,0.7167056936835511,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.1093075413619293,1.0641913864680574,1.0966779685063226,-1.9108379931278097
2012-10-29,-1.9031953820525636,-1.1594504748958419,-1.8997609202138281,-1.9155997695429037,-1.4066428614584396,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.1472393095291449,1.5226639228133692,1.1630443396378145,-1.9108379931278097
2012-10-30,-1.9069186096305282,-1.2054932581000284,-1.8988289412169064,-1.9118682304742507,-0.6988600097444426,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.156722251570949,1.637282056899697,1.1630443396378145,-1.9238464997005167
2012-10-31,-1.9087802234195101,-1.1865169778609446,-1.8997609202138281,-1.9100024609399242,0.008922841969554235,1.3424099307726218,1.0165933411216734,-1.8453483575350036,1.1662051936127529,1.751900190986025,1.1630443396378145,-1.8848209799823952
2012-11-01,-1.9050569958415458,-1.1338242700896197,-1.8978969622199846,-1.9056489986931626,0.7167056936835511,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.1756881356545568,-1.6866438316038133,1.1630443396378145,-1.8848209799823952
2012-11-02,-1.8976105406856165,-1.205493258100026,-1.8978969622199846,-1.9025393828026187,1.424488545397548,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.1851710776963607,-1.5720256975174853,1.1630443396378145,-1.936855006273224
2012-11-05,-1.9013337682635811,-1.1015437265001955,-1.8997609202138281,-1.9019174596245099,-1.4066428614584396,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2136199038217725,-1.2281712952585013,1.2294107107693066,-1.9758805259913457
2012-11-06,-1.9162266785754394,-0.9146582722955171,-1.9034888362015157,-1.9031613059807275,-0.6988600097444426,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2231028458635764,-1.1135531611721734,1.2294107107693066,-1.9758805259913457
2012-11-07,-1.9255347475203506,-0.769240779393261,-1.911876647173812,-1.9044051523369452,0.008922841969554235,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2325857879053803,-0.9989350270858456,1.2294107107693066,-1.9758805259913457
2012-11-08,-1.934842816465262,-0.6993326722947101,-1.9184005001522648,-1.9068928450493803,0.7167056936835511,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2420687299471842,-0.8843168929995175,1.2294107107693066,-1.988889032564053
2012-11-09,-1.9441508854101732,-0.6134887834634779,-1.923992374133796,-1.9106243841180333,1.424488545397548,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2515516719889883,-0.7696987589131896,1.2294107107693066,-1.9758805259913457
2012-11-12,-1.9571821819330493,-0.803858269163523,-1.9286522691184051,-1.9137340000085772,-1.4066428614584396,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2800004981144,-0.42584435665420584,1.2957770819007985,-1.988889032564053
2012-11-13,-1.9720750922449075,-1.2408573744925104,-1.9323801851060924,-1.9187093854334476,-0.6988600097444426,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.2894834401562039,-0.3112262225678779,1.2957770819007985,-1.9758805259913457
2012-11-14,-1.9776599336118543,-1.4963282439045356,-1.9370400800907017,-1.9218190013239915,0.008922841969554235,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.298966382198008,-0.19660808848154995,1.2957770819007985,-1.9628720194186384
2012-11-19,-1.975798319822872,-1.4360943461381288,-1.9435639330691545,-1.923684770858318,-1.4066428614584396,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.3463810924070274,0.37648258195008977,1.3621434530322907,-2.014906045709467
2012-11-20,-1.9813831611898187,-1.262543309012025,-1.9510197650445291,-1.9311478489956235,-0.6988600097444426,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.3558640344488315,0.4911007160364177,1.3621434530322907,-1.988889032564053
2012-11-21,-1.983244774978801,-1.268161433339623,-1.9566116390260602,-1.936123234420494,0.008922841969554235,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.3653469764906354,0.6057188501227456,1.3621434530322907,-2.0279145522821747
2012-11-22,-1.9888296163457477,-1.113417748153813,-1.9640674710014348,-1.9417205430234734,0.7167056936835511,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.3748299185324393,0.7203369842090735,1.3621434530322907,-2.014906045709467
2012-11-23,-1.9944144577126948,-1.1015437265001942,-1.973387260970653,-1.9466959284483436,1.424488545397548,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.3843128605742432,0.8349551182954015,1.3621434530322907,-2.0279145522821747
2012-11-26,-1.9999992990796414,-1.0457113806953144,-1.9836390299367932,-1.9510493906951054,-1.4066428614584396,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.412761686699655,1.1788095205543854,1.4285098241637826,-1.9758805259913457
2012-11-27,-1.9999992990796414,-1.0457113806953144,-1.9864349669275587,-1.9541590065856493,-0.6988600097444426,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.422244628741459,1.2934276546407133,1.4285098241637826,-1.9758805259913457
2012-11-28,-2.0018609128686236,-1.1134177481538097,-1.9864349669275587,-1.9591343920105198,0.008922841969554235,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.4317275707832628,1.4080457887270412,1.4285098241637826,-2.00189753913676
2012-11-29,-1.9999992990796414,-1.1255648428859504,-1.9882989249214025,-1.9634878542572813,0.7167056936835511,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.4412105128250667,1.5226639228133692,1.4285098241637826,-2.014906045709467
2012-11-30,-2.003722526657606,-1.1338242700896153,-1.991094861912168,-1.968463239682152,1.424488545397548,1.3424099307726218,1.3060228914074434,-1.8453483575350036,1.4506934548668708,1.637282056899697,1.4285098241637826,-2.079948578573003
2012-12-03,-2.011168981813535,-0.8268885938681684,-1.9976187148906208,-1.9759263178194577,-1.4066428614584396,1.3424099307726218,1.5954524416932134,-1.8453483575350036,1.4791422809922825,-1.4574075634311574,1.4948761952952747,-2.118974098291125
2012-12-04,-2.026061892125393,-0.4129894334344759,-2.007870483856761,-1.987120935025416,-0.6988600097444426,1.3424099307726218,1.5954524416932134,-1.8453483575350036,1.4886252230340864,-1.3427894293448293,1.4948761952952747,-2.118974098291125
2012-12-05,-2.0390931886482693,-0.1817656951653525,-2.0171902738259795,-1.9983155522313745,0.008922841969554235,1.3424099307726218,1.5954524416932134,-1.8453483575350036,1.4981081650758905,-1.2281712952585013,1.4948761952952747,-2.131982604863832
